source_kind,shape_threshold,scenario,source_log,source_event_index,track_id,frame_id,timestamp,label,archetype,resolution_status,action,reason,yaw_source,yaw_ambiguous,scale_source,descriptor_build_us,descriptor_build_with_parts_us,schedule_us,scheduler_decision_us,update_packet_build_us,effective_create_us,create_total_python_us,pose_update_no_mesh_us,descriptor_bytes,packet_bytes,triangles,parts,previous_descriptor_id
synthetic,0.05,static_tower,,,static_tower_01,0,2026-07-02T12:00:00Z,tower,tower,exact_class,create,first_descriptor_for_track,mask_pca_axial,True,metric_dims_input,162.9,162.9,1.5,1.5,23.7,53.1,241.2,0.0,4178,2585,90,4,
synthetic,0.05,static_tower,,,static_tower_01,1,2026-07-02T12:00:01Z,tower,tower,exact_class,no_op,descriptor_equivalent_under_policy,mask_pca_axial,True,metric_dims_input,100.9,100.9,8.8,8.8,9.4,0.0,0.0,18.200000000000003,4203,934,90,4,sppa-1e9424522fb8ba4a
synthetic,0.05,static_tower,,,static_tower_01,2,2026-07-02T12:00:02Z,tower,tower,exact_class,no_op,descriptor_equivalent_under_policy,mask_pca_axial,True,metric_dims_input,89.6,89.6,5.0,5.0,8.1,0.0,0.0,13.1,4203,934,90,4,sppa-36fe055b5bd19789
synthetic,0.05,static_tower,,,static_tower_01,3,2026-07-02T12:00:03Z,tower,tower,exact_class,no_op,descriptor_equivalent_under_policy,mask_pca_axial,True,metric_dims_input,83.8,83.8,3.9,3.9,7.8,0.0,0.0,11.7,4203,934,90,4,sppa-c1a5766916dbbfd9
synthetic,0.05,static_tower,,,static_tower_01,4,2026-07-02T12:00:04Z,tower,tower,exact_class,no_op,descriptor_equivalent_under_policy,mask_pca_axial,True,metric_dims_input,84.6,84.6,3.4,3.4,7.9,0.0,0.0,11.3,4203,934,90,4,sppa-ef48757df93315f4
synthetic,0.05,static_tower,,,static_tower_01,5,2026-07-02T12:00:05Z,tower,tower,exact_class,no_op,descriptor_equivalent_under_policy,mask_pca_axial,True,metric_dims_input,86.6,86.6,3.6,3.6,7.7,0.0,0.0,11.3,4203,934,90,4,sppa-c075132045a91022
synthetic,0.05,static_tower,,,static_tower_01,6,2026-07-02T12:00:06Z,tower,tower,exact_class,no_op,descriptor_equivalent_under_policy,mask_pca_axial,True,metric_dims_input,84.5,84.5,3.4,3.4,7.7,0.0,0.0,11.1,4203,934,90,4,sppa-49125fea7727917a
synthetic,0.05,static_tower,,,static_tower_01,7,2026-07-02T12:00:07Z,tower,tower,exact_class,no_op,descriptor_equivalent_under_policy,mask_pca_axial,True,metric_dims_input,81.7,81.7,3.2,3.2,7.7,0.0,0.0,10.9,4203,934,90,4,sppa-cc0ccb625ecd1ef2
synthetic,0.05,static_tower,,,static_tower_01,8,2026-07-02T12:00:08Z,tower,tower,exact_class,no_op,descriptor_equivalent_under_policy,mask_pca_axial,True,metric_dims_input,94.7,94.7,3.4,3.4,8.3,0.0,0.0,11.700000000000001,4203,934,90,4,sppa-a0f36fb989953af5
synthetic,0.05,static_tower,,,static_tower_01,9,2026-07-02T12:00:09Z,tower,tower,exact_class,no_op,descriptor_equivalent_under_policy,mask_pca_axial,True,metric_dims_input,86.5,86.5,3.3,3.3,7.9,0.0,0.0,11.2,4203,934,90,4,sppa-98813cf59cbad99b
synthetic,0.05,moving_car,,,moving_car_01,0,2026-07-02T12:01:00Z,car,car,exact_class,create,first_descriptor_for_track,mask_pca_axial,True,metric_dims_input,315.2,315.2,2.0,2.0,41.4,243.8,602.4,0.0,6182,4628,864,12,
synthetic,0.05,moving_car,,,moving_car_01,1,2026-07-02T12:01:01Z,car,car,exact_class,pose_update,pose_yaw_or_confidence_bucket_change,track_velocity,False,metric_dims_input,208.7,208.7,5.4,5.4,10.3,0.0,0.0,15.700000000000001,6224,925,864,12,sppa-c2d0aa330d0443fe
synthetic,0.05,moving_car,,,moving_car_01,2,2026-07-02T12:01:02Z,car,car,exact_class,pose_update,pose_yaw_or_confidence_bucket_change,track_velocity,False,metric_dims_input,192.9,192.9,4.0,4.0,9.1,0.0,0.0,13.1,6219,922,864,12,sppa-77f756cd90758b52
synthetic,0.05,moving_car,,,moving_car_01,3,2026-07-02T12:01:03Z,car,car,exact_class,pose_update,pose_yaw_or_confidence_bucket_change,track_velocity,False,metric_dims_input,236.8,236.8,8.2,8.2,12.0,0.0,0.0,20.2,6252,939,864,12,sppa-867e3f10cb1a7734
synthetic,0.05,moving_car,,,moving_car_01,4,2026-07-02T12:01:04Z,car,car,exact_class,pose_update,pose_yaw_or_confidence_bucket_change,track_velocity,False,metric_dims_input,212.6,212.6,4.5,4.5,9.3,0.0,0.0,13.8,6219,922,864,12,sppa-6cf8cbb07fecb6d7
